Rank,Player Name,Position,College
562,Hudson Kaak,P,Auburn
563,Jarra Anderson,DL,Arizona
564,David Olano,K,Illinois
565,Phillip Daniels,OT,Ohio State
566,Palmer Williams,P,Baylor
567,Aidan Flintoft,P,Stanford
568,Isaiah Jatta,OT,BYU
569,Jake Eldridge,LS,Rutgers
570,Conor Talty,K,Alabama
571,Davaughn Patterson,S,Wake Forest
572,Chris Johnson Jr.,RB,SMU
573,Mikey Matthews,WR,UCLA
574,Brock Taylor,K,Vanderbilt
575,Jayce Brown,WR,Kansas State
576,London Humphreys,WR,Georgia
577,Peyton Woodring,K,Georgia
578,Tyler Brown,WR,Clemson
579,Ja'Bril Rawls,S,Florida State
580,Grayson Loftis,QB,Charlotte
581,Sedrick Alexander,RB,Vanderbilt
582,Carl Williams IV,S,Baylor
583,Kaden Feagin,RB,Illinois
584,Alex Kilgore,LB,SMU
585,Joey Schlaffer,TE,Penn State
586,Amare Thomas,WR,Houston
587,Hank Brown,QB,Iowa
588,Evan Link,OT,Michigan
589,A'Marion McCoy,CB,Boise State
590,Dion Crawford,LB,Buffalo
591,James Durand,IOL,Western Illinois
592,Marcus Ratcliffe,S,Texas A&M
593,Trey Dubuc,LS,New Mexico
594,Aiden Fisher,LB,Indiana
595,Jaylen Raynor,QB,Arkansas State
596,Ryder Burns,LS,Southern Miss
597,Chandavian Bradley,EDGE,Oklahoma State
598,Tony Mitchell,S,Mississippi State
599,Denver Harris,CB,UNLV
600,Gabriel Brownlow-Dindy,DL,South Carolina
601,Zach Rice,IOL,Syracuse
602,Jeremiah Alexander,EDGE,Clemson
603,Chris Marshall,WR,Boise State
604,Conner Weigman,QB,Houston
605,Jaheim Singletary,CB,Arkansas
606,C.J. Hicks,EDGE,Ohio State
607,Travis Shaw,DL,Texas
608,TreVonte Citizen,RB,McNeese State
609,Tegra Tshabola,IOL,Ohio State
610,Nick Evers,QB,UConn
611,Julian Armella,IOL,UCLA
612,Donovan Green,TE,LSU
613,Jacob Sexton,OT,Oklahoma
614,Andre Greene Jr.,WR,Virginia
615,Jacoby Mathews,S,Auburn
616,Gentry Williams,CB,Oklahoma
617,Jyaire Brown,CB,UCF
618,Holden Staes,TE,Indiana
619,Kaden Helms,TE,Oklahoma
620,Neto Umeozulu,IOL,Texas
621,Branson Robinson,RB,Georgia State
622,Talyn Shettron,WR,Oklahoma State
